Aikido,1,25
Araki-ryu,3,25
Bajutsu,3,25
Battojutsu,3,25
Bojutsu,3,25
Bujinkan,3,25
Chito-ryu,3,25
Daito-ryu,3,25
aiki-jujutsu,3,25
Genseiryu,3,25
Goju-ryu,3,25
Hakko-ryu,3,25
Hojojutsu,3,25
Hojutsu,3,25
Iaido,3,25
Iaijutsu,3,25
Isshin-ryu,3,25
Jodo,1,25
Japanese kickboxing,1,25
Judo,1,25
Jukendo,3,25
Jiujitsu,2,25
Juttejutsu,3,25
Karate,1,25
Kendo,2,25
Kenjutsu,1,25
Kenpo,2,25
Kosho Shorei Ryu Kempo,3,25
Kudo,3,25
Kusarigamajutsu,3,25
Kyudo,3,25
Kyujutsu,3,25
Naginatajutsu,3,25
Maniwa Nen-ryu,3,25
Ninjutsu,2,25
Nippon Kempo,3,25
Okinawan kobudo,3,25
Seishinkai,3,25
Shindo jinen-ryu,3,25
Shito-ryu),3,25
Shoot Boxing,3,25
Shoot wrestling,2,25
Shootfighting,2,25
Shorin-ryu,3,25
Shorinji Kempo,3,25
Shorinji-Ryu,3,25
Shotokan-ryu,3,25
Shudokan,3,25
Shukokai,3,25
Shurikenjutsu,3,25
Sojutsu,3,25
Sosuishi-ryu,3,25
Suijutsu,3,25
Sumo,3,25
Taido,3,25
Taijutsu,3,25
Takeda Ryu Nakamura Ha,3,25
Takenouchi-ryu,3,25
Tantojutsu,3,25
Tegumi,3,25
Tenshin Shoden Katori Shinto,3,25
Tessenjutsu,3,25
Togakure-ryu,3,25
Toyama-ryu,3,25
Uechi-ryu,3,25
Wado-ryu,3,25
Yabusame,3,25
Yagyu Shingan,3,25
Yoseikan Budo,3,25
Yoseikan-ryu,3,25
